BUSINESS_SUB_GROUP_NM,PRODUCT_LINE_CD,PLATFORM_NM,MODEL_NM,PRODUCT_MODEL_NR,PART_DN,STD_PRICE_USD_AM,PART_NR,UNRESTRICTED_QT,EXTRACT_TS
HPS Printers,2N,TACCOLA I-INK,HP DeskJet 2721 All-in-One Pri,7FR54B,HP DeskJet 2721 AiO Prntr:EU-XMO2-EUR-UK,"34,88",7FR54B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,GC,POSEIDON WL,HP Smart Tank 515 Wireless All,1TJ09A,HP Smart Tank 515 AiO Printer:E EUR/RU,"72,26",1TJ09A#A82,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,DU,RUBY,HP OFFICEJET 202 MOBILE PRINTE,N4K99C,HP OfficeJet 202 Mobile Printer:E EUR/RU,"91,97",N4K99C#A82,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,G8,Agate 1.2,HP Color LaserJet Managed MFP,8GS50A,HP Clr LJ Mgd MFP E78223-28dn Base:EU,"1266,08",8GS50A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,NOT SPECIFIED,RATCHET MFP,209U6A,HP Laser MFP 135wr Printer:EUR,"85,65",209U6A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,LHASA WL,HP DeskJet 3762 All-in-One Pri,T8X23B,HP DeskJet 3762 All-in-One Printer:UK/IE,"34,24",T8X23B#BEV,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MUSCATEL LITE,HP OfficeJet 6950 All-in-One P,P4C85A,HP OfficeJet 6950 AiO Printer:EUR/UK,"94,28",P4C85A#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,IF,LUZON,HP Sprocket Studio,3MP72A,HP Sprocket Studio Snow Printer:EU,"60,53",3MP72A#648,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,GS,TAHITI,HP LaserJet Enterprise M806dn,CZ244A,HP LaserJet M806dn Printer:EUR Multi,"1648,03",CZ244A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MANHATTAN I-INK,HP OfficeJet Pro 9013 All-in-O,1KR49B,HP OfficeJet Pro 9013 AiO Prntr:IL-he,"135,43",1KR49B#ABT,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA PLUS I-INK,HP DeskJet Plus 4122 All-in-On,7FS79B,HP DeskJet Plus 4122 AiO Prntr:E EUR/RU,"42,84",7FS79B#670,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MA,WRIGLEY MANAGED,HP LASERJET MANAGED E40040DN,3PZ35A,HP LaserJet Managed E40040dn Prntr:EU,"177,22",3PZ35A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MANHATTAN HI I-INK,HP OfficeJet Pro 9025 All-in-O,3UL05B,HP OfficeJet Pro 9025 AiO Prntr:EUR/UK,"158,96",3UL05B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,NOT SPECIFIED,MANHATTAN YET1,226Y0B,HP OfficeJet Pro 9022e AiO Prntr:EU-XMO2,"156,35",226Y0B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
