Equip nr,Equip size,Equip type,CBL no,HBL no,Vessel,POD,ETA,Pallets new (C),Packages,Pieces,Gross Weight,Description,PO,SKU,Destination,POL,Seal no,Flow,Service level,Categorization,Delivery nr,End det freetime,T1 latest validity date,Exp delivery date,Requested slot date,Requested slot time,Replan,Replan reason,Recommended exp delivery date,Reason code,Comment Maersk,Comment LGI,Time stamp,Actual Delivery Date DC,Invoice nr,Service Level Combined - Hidden
MRSU3032760,40,HIGH,MAEU/207286161,,MAERSK MC-KINNEY MOLLER,ROTTERDAM,2/15/2021,22,22,1848,"11.341,176",HP PRINTER,7002515457,5SE18B#BHC,Huenxe,LAEM CHABANG,TH5984742,REPLENISHMENT - PPS,P1T – HPS,,INT0050319,3/6/2021,3/1/2021,2/18/2021,,,,,,,,,,,MAEU207286161,P1T
CXRU1358925,40,HREF,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,40,40,1849,"11.712,000",HP LBP L 4-1 S,52008362957002439842,7KW56A#B19,Huenxe,HAIPHONG,VN963816A,CANON,P1 – HPS,,52008362957002439842,3/10/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003496,P1
ONEU0159956,40,HIGH,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,42,42,1850,"13.843,200",HP LBP BASE 22,52008888047002522396,W2G54A#B19,Huenxe,HAIPHONG,VN974567A,CANON,P1 – HPS,,52008888047002522396,3/13/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003520,P1
FFAU1477351,40,HIGH,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,28,28,1851,"9.301,600",HP LBP WIRELES,52008888737002522399,W2G55A#B19,Huenxe,HAIPHONG,VN974573A,CANON,P1 – HPS,,52008888737002522399,3/13/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003522,P1
KKFU6771410,40,HREF,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,40,40,1852,"6.952,000",HP LBP DNW 220,52008363307002439847,7KW64A#B19,Huenxe,HAIPHONG,VN964306A,CANON,P1 – HPS,,52008363307002439847,3/10/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003523,P1
MORU1115871,40,HREF,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,42,42,1853,"11.621,400",HP LBP L SN 22,52008363387002439837,7KW54A#B19,Huenxe,HAIPHONG,VN963928A,CANON,P1 – HPS,,52008363387002439837,3/10/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003494,P1
MORU1320032,40,HREF,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,40,40,1854,"11.712,000",HP LBP L 4-1 S,52008362957002439842,7KW56A#B19,Huenxe,HAIPHONG,VN964276A,CANON,P1 – HPS,,52008362957002439842,3/10/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003521,P1
MORU1322360,40,HREF,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,42,42,1855,"11.621,400",HP LBP L SN 22,52008363387002439837,7KW54A#B19,Huenxe,HAIPHONG,VN964303A,CANON,P1 – HPS,,52008363387002439837,3/10/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003513,P1
TCLU1491519,40,HIGH,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,42,42,1856,"13.843,200",HP LBP BASE 22,52008888047002522396,W2G54A#B19,Huenxe,HAIPHONG,VN974568A,CANON,P1 – HPS,,52008888047002522396,3/13/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003493,P1
TCNU7777981,40,HIGH,ONEY/HANA68814400,,ONE CRANE,ROTTERDAM,2/22/2021,42,42,1857,"13.952,400",HP LBP WIRELES,52008888737002522399,W2G55A#B19,Huenxe,HAIPHONG,VN974578A,CANON,P1 – HPS,,52008888737002522399,3/13/2021,3/11/2021,2/28/2021,,,,,,,,,,,2101100003495,P1
CSNU6413640,40,HIGH,PNVO/WH959900,,COSCO SHIPPING TAURUS,ROTTERDAM,2/23/2021,21,21,1858,"11.214,000",PRINTER,7002548677,7KW75A#B19,Huenxe,QINGDAO,P856724,REPLENISHMENT - PPS,P1 – HPS,,JAW0085344,3/14/2021,3/14/2021,3/1/2021,,,,,,,,,,,,P1
CSNU6418960,40,HIGH,PNVO/WH959640,,COSCO SHIPPING TAURUS,ROTTERDAM,2/23/2021,21,21,1859,"11.235,000",PRINTER,7002554783,7KW74A#B19,Huenxe,QINGDAO,P856688,REPLENISHMENT - PPS,P1 – HPS,,JAW0085332,3/14/2021,3/14/2021,3/1/2021,,,,,,,,,,,,P1
OOCU6955894,40,HIGH,PNVO/WH959640,,COSCO SHIPPING TAURUS,ROTTERDAM,2/23/2021,21,21,1860,"11.235,000",PRINTER,7002548677,7KW75A#B19,Huenxe,QINGDAO,P856725,REPLENISHMENT - PPS,P1 – HPS,,JAW0085323,3/14/2021,3/14/2021,3/1/2021,,,,,,,,,,,,P1
BEAU5807604,40,HIGH,PNVO/WH959900,,COSCO SHIPPING TAURUS,ROTTERDAM,2/23/2021,21,21,1861,"11.256,000",PRINTER,7002548677,7KW75A#B19,Huenxe,QINGDAO,P854509,REPLENISHMENT - PPS,P1 – HPS,,JAW0085343,3/14/2021,3/14/2021,3/1/2021,,,,,,,,,,,,P1
TGBU7909408,40,HIGH,PNVO/WH959900,,COSCO SHIPPING TAURUS,ROTTERDAM,2/23/2021,21,21,1862,"11.151,000",PRINTER,7002548677,7KW75A#B19,Huenxe,QINGDAO,P856603,REPLENISHMENT - PPS,P1 – HPS,,JAW0085362 JAW0085364,3/14/2021,3/14/2021,3/1/2021,,,,,,,,,,,,P1
