CodiProva;NomProva;CodiResultat;NomResultat;LOINC;ProvaAnulada;Sinonims;Secció;Mètode;CENTRE COST;ACTIVITAT
5000;HEMOGRAMA;1;HEMATIES;32776-7;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;2;HEMOGLOBINA;718-7;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;3;HEMATÒCRIT;4544-3;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;4;V. C. M.;787-2;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;5;H. C. M.;785-6;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;6;M. C. H. C.;786-4;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;7;RDW-SD;21000-5;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;8;RDW-CV;788-0;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;9;LEUCÒCITS;60026-2;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;10;NEUTRÒFILS %;770-8;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;11;NEUTRÒFILS T;751-8;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;12;LIMFÒCITS %;736-9;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;13;LIMFÒCITS T;731-0;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;14;MONÒCITS %;5905-5;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;15;MONÒCITS T;742-7;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;16;EOSINÒFILS %;713-8;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;17;EOSINÒFILS T;711-2;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;18;BASÒFILS %;706-2;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;19;BASÒFILS T;704-7;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;20;PLAQUETES;777-3;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;21;P. D. W.;32207-3;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;22;V. P. M.;32623-1;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
5000;HEMOGRAMA;23;P-LCR;51637-7;N;;HEMATOLOGIA;Colorimetria làser impedància;SYSMEX;746734
1020;CREATININA Sèrum;1;CREATININA Sèrum;2160-0;N;Creatinini, Ió creatinini, Creatinèmia;BIOQUÍMICA;Colorimetria;MODULAR / COBAS INTEGRA;714072
1000;GLUCOSA Sèrum;1;GLUCOSA Sèrum;2345-7;N;Glicèmia, glucèmia;BIOQUÍMICA;Enzimàtic espectrofotometria;MODULAR / COBAS INTEGRA;644998
1040;IONOGRAMA Sèrum;1;SODI Sèrum;2951-2;N;Ions, Na, K, Cl, Sodi, Potassi, Clor;BIOQUÍMICA;Potenciometria;MODULAR / COBAS INTEGRA;631268
1040;IONOGRAMA Sèrum;2;POTASSI Sèrum;2823-3;N;Ions, Na, K, Cl, Sodi, Potassi, Clor;BIOQUÍMICA;Potenciometria;MODULAR / COBAS INTEGRA;631268
1040;IONOGRAMA Sèrum;3;CLOR Sèrum;2075-0;N;Ions, Na, K, Cl, Sodi, Potassi, Clor;BIOQUÍMICA;Potenciometria;MODULAR / COBAS INTEGRA;631268
1010;UREA Sèrum;1;UREA Sèrum;3091-6;N;BUN, Nitrogen ureic;BIOQUÍMICA;Enzimàtic espectrofotometria;MODULAR / COBAS INTEGRA;546258
1063;FILTRAT GLOMERULAR ESTIMAT (CKD-EPI);1;F. G. ESTIMAT (CKD-EPI) Sèrum;62238-1;N;CKD-EPI;BIOQUÍMICA;Càlcul;MODULAR / COBAS INTEGRA;521828
1111;ALANINA AMINOTRANSFERASA (GPT) Sèrum;1;ALT (GPT) Sèrum;1742-6;N;ALT, GPT,  ALAT, SGPT, Transaminasa glutamicopirúvica, EC 2-6-1-2;BIOQUÍMICA;Cinètica enzimàtica;MODULAR / COBAS INTEGRA;497582
1110;ASPARTAT AMINOTRANSFERASA (GOT) Sèrum;1;AST (GOT) Sèrum;1920-8;N;AST,ASAT, transaminasa sèrica, GOT, SGOT;BIOQUÍMICA;Cinètica enzimàtica;MODULAR / COBAS INTEGRA;432137
1100;BILIRUBINA TOTAL Sèrum;1;BILIRUBINA TOTAL Sèrum;1975-2;N;Bilirrubina total, bilirrubinèmia;BIOQUÍMICA;Colorimetria;MODULAR / COBAS INTEGRA;352373
6103;TEMPS DE PROTROMBINA RATI Plasma;1;T. PROTROMBINA (s);5902-2;N;;HEMOSTÀSIA;Càlcul;CS;345181
6103;TEMPS DE PROTROMBINA RATI Plasma;2;T. PROTROMBINA (CONTROL);5901-4;N;;HEMOSTÀSIA;Càlcul;CS;345181
6103;TEMPS DE PROTROMBINA RATI Plasma;3;T. PROTROMBINA (RATI);5894-1;N;;HEMOSTÀSIA;Càlcul;CS;345181
1120;GAMMA GLUTAMIL TRANSFERASA (GGT) Sèrum;1;GAMMA GT (GGT) Sèrum;2324-2;N;Gamma-glutamil transpeptidasa, Gamma-GT, GGTP, GT, EC 2-3-2-2;BIOQUÍMICA;Cinètica enzimàtica;MODULAR / COBAS INTEGRA;344928
4180;PROTEÏNA C REACTIVA Sèrum;1;PROTEÏNA C REACTIVA Sèrum;1988-5;N;PCR, CRP;BIOQUÍMICA;Turbidimetria;MODULAR / COBAS INTEGRA;327517
1130;FOSFATASA ALCALINA Sèrum;1;FOSFATASA ALCALINA Sèrum;6768-6;N;ALP, Monoéster ortofosfóric fosfohidrolasa, EC 3-1-3-1;BIOQUÍMICA;Espectrofotometria;MODULAR / COBAS INTEGRA;299835
1180;COLESTEROL Sèrum;1;COLESTEROL Sèrum;2093-3;N;;BIOQUÍMICA;Enzimàtic espectrofotometria;MODULAR / COBAS INTEGRA;290998
6108;T. TROMBOPLASTINA PARCIAL ACTIVADA RATI Plasma;1;APTT (RATI);63561-5;N;Temps de tromboplastina parcial activat-Ràtio, TTPA,APTT,PTT,TTP,Temps de cefalina;HEMOSTÀSIA;Càlcul;CS;281866
1190;TRIGLICÈRIDS Sèrum;1;TRIGLICÈRIDS Sèrum;2571-8;N;Triacilglicerols;BIOQUÍMICA;Enzimàtic espectrofotometria;MODULAR / COBAS INTEGRA;264389
1170;PROTEÏNES TOTALS Sèrum;1;PROTEÏNES TOTALS Sèrum;2885-2;N;;BIOQUÍMICA;Colorimetria;MODULAR / COBAS INTEGRA;261145
6100;TEMPS DE PROTROMBINA Plasma;1;T. PROTROMBINA (%);5894-1;N;TP, PT, Quick;HEMOSTÀSIA;Coagulatiu;CS;240307
6105;T. TROMBOPLASTINA PARCIAL ACTIVADA Plasma;1;APTT;14979-9;N;TTPA, APTT,  PTT,  TTP,  Temps de cefalina;HEMOSTÀSIA;Coagulatiu;CS;224526
6105;T. TROMBOPLASTINA PARCIAL ACTIVADA Plasma;2;APTT (CONTROL);13488-2;N;TTPA, APTT,  PTT,  TTP,  Temps de cefalina;HEMOSTÀSIA;Coagulatiu;CS;224526
1175;ALBÚMINA Sèrum;1;ALBÚMINA Sèrum;1751-7;N;;BIOQUÍMICA;Colorimetria;MODULAR / COBAS INTEGRA;223798
1030;URAT Sèrum;1;URAT Sèrum;3084-1;N;Àcid úric, Uricèmia;BIOQUÍMICA;Enzimàtic espectrofotometria;MODULAR / COBAS INTEGRA;215472
6102;INR Plasma;1;INR Plasma;6301-6;N;International Normalized Ratio, Raó Normalitzada Internacional;HEMOSTÀSIA;Coagulatiu;CS;213056
1150;CALCI Sèrum;1;CALCI Sèrum;17861-6;N;;BIOQUÍMICA;Colorimetria;MODULAR / COBAS INTEGRA;186561
3500;FERRITINA Sèrum;1;FERRITINA Sèrum;2276-4;N;;BIOQUÍMICA;Electroquimioluminescència;ELECSYS / COBAS H232;160786
1181;FRACCIONS COLESTEROL Sèrum;1;COLESTEROL HDL Sèrum;2085-9;N;;BIOQUÍMICA;Enzimàtic - Fórmula Friedewald;MODULAR / COBAS INTEGRA;153437
1181;FRACCIONS COLESTEROL Sèrum;2;COLESTEROL LDL Sèrum;13457-7;N;;BIOQUÍMICA;Enzimàtic - Fórmula Friedewald;MODULAR / COBAS INTEGRA;153437
1181;FRACCIONS COLESTEROL Sèrum;3;COLESTEROL VLDL Sèrum;13458-5;N;;BIOQUÍMICA;Enzimàtic - Fórmula Friedewald;MODULAR / COBAS INTEGRA;153437
3000;TIROTROPINA (TSH) Sèrum;1;TIROTROPINA (TSH) Sèrum;3016-3;N;TSH, sTSH;HORMONES;Electroquimioluminescència;ELECSYS / COBAS H232;151188
6120;FIBRINOGEN DERIVAT Plasma;1;FIBRINOGEN DERIVAT Plasma;48664-7;N;;HEMOSTÀSIA;Càlcul;CS;137708
